#Opt	Id	Name	Type	IP	Offset	Binary
-	0x01	fsbl-boot	Binary		none	0x0		tfa/tfa_usb.stm32
-	0x02	fip-ddr		FIP		none	0x0		fip/fip-ddr.bin
-	0x03	fip-boot	FIP		none	0x0		fip/fip_usb.bin
P	0x04	fsbla1		Binary		mmc1	boot1		tfa/tfa_emmc.stm32
P	0x05	fsbla2		Binary		mmc1	boot2		tfa/tfa_emmc.stm32
PE	0x06	metadata1	FWU_MDATA	mmc1	0x00080000	tfa/metadata.bin
PE	0x07	metadata2	FWU_MDATA	mmc1	0x00100000	tfa/metadata.bin
P	0x08	fip-a		FIP		mmc1	0x00180000	fip/fip.bin
PED	0x09	fip-b		FIP		mmc1	0x00580000	fip/fip.bin
PED	0x0A	u-boot-env	ENV		mmc1	0x00980000	none
PE	0x10	bootfs		System		mmc1	0x00A00000	none
PE	0x11	vendorfs	FileSystem	mmc1	0x04A00000	none
PE	0x12	rootfs		FileSystem	mmc1	0x14400000	none
PE	0x13	userfs		FileSystem	mmc1	0xD4400000	none
